success,trial_type
true,fullscreen
,survey-html-form
,html-keyboard-response
,audio-keyboard-response
,html-keyboard-response
,audio-keyboard-response
,instruc9
,html-keyboard-response
,instruc11
,html-keyboard-response
,instruc12
,html-keyboard-response
,instruc13
,html-keyboard-response
,do_welcome
,do_trial
,html-keyboard-response
,do_trial
,html-keyboard-response
,do_trial
,html-keyboard-response
,do_trial
,html-keyboard-response
,do_trial
,html-keyboard-response
,do_trial
,do_bye
,do_travel
,do_welcome
,do_trial
,html-keyboard-response
,do_trial
,html-keyboard-response
,do_trial
,html-keyboard-response
,do_trial
,html-keyboard-response
,do_trial
,html-keyboard-response
,html-keyboard-response
,quiz_beginning
,html-keyboard-response
,correct
,html-keyboard-response
,html-keyboard-response
,correct
,html-keyboard-response
,html-keyboard-response
,correct
,html-keyboard-response
,html-keyboard-response
,correct
,html-keyboard-response
,q_all_corr
,html-keyboard-response
,do_welcome
,do_trial
,html-keyboard-response
,do_trial
,html-keyboard-response
,do_trial
,html-keyboard-response
,attention_check
,do_bye
,break
,do_travel
,do_welcome
,do_trial
,html-keyboard-response
,do_trial
,html-keyboard-response
,do_trial
,html-keyboard-response
,attention_check
,do_bye
,break
,do_travel
,do_welcome
,do_trial
,html-keyboard-response
,do_trial
,html-keyboard-response
,do_trial
,html-keyboard-response
,attention_check
,do_bye
,break
,do_travel
,do_welcome
,do_trial
,html-keyboard-response
,do_trial
,html-keyboard-response
,do_trial
,html-keyboard-response
,attention_check
,do_bye
,break
,do_travel
,do_welcome
,do_trial
,html-keyboard-response
,do_trial
,html-keyboard-response
,do_trial
,html-keyboard-response
,attention_check
,do_bye
,break
,do_travel